sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
18g,40,147009,1,10,O,green,OoQCoQCoQC,1,1,1067,211
18g,1,3050,1,10,O,green,OoCQCoQoCQ,1,1,915,288
18g,2,5149,1,10,O,green,OCQoQoCQoC,0,1,819,29742
18g,3,36599,0,10,O,green,CoQCoQoCQo,0,1,12991,406
18g,4,50864,0,10,O,green,oQCQoCoCQC,0,1,3245,415
18g,5,55431,0,10,O,green,QCoCoQoCQC,0,1,1075,439
18g,6,57821,1,10,O,green,OoCQoCQoCQ,1,1,125863,287
18g,7,184891,0,10,O,green,CQoCQoCQoQ,0,1,1231,477
18g,8,187532,0,10,O,green,QoCoQCoCQo,0,1,680,1032
18g,9,190149,1,10,O,green,OoCQoQCoCQ,1,1,899,244
18g,10,192183,0,10,O,green,CoQCoQCQoC,0,1,831,464
18g,11,194425,0,10,O,green,CoQCoQCoQC,0,1,610,1156
18g,12,197104,1,10,O,green,OCoQCQoCQo,1,1,889,198
18g,13,199109,1,10,O,green,OQoCQCoCQo,1,1,1163,266
18g,14,201436,1,10,O,green,OoCQCoQCoQ,1,1,1186,265
18g,15,203773,1,10,O,green,OQoCQCoCoQ,1,1,986,1504
18g,16,207154,0,10,O,green,QCoQCoQCoC,0,1,999,632
18g,17,209680,0,10,O,green,QCoCQoCQoC,0,1,856,553
18g,18,212011,1,10,O,green,OQCoQoCoQC,1,1,780,753
18g,19,214442,1,10,O,green,OoQCoQCoQC,1,1,1108,267
18g,20,216700,1,10,O,green,OCoQoQCQoC,1,1,1553,1101
18g,21,220246,1,10,O,green,OQCoCQoCQo,1,1,968,373
18g,22,222487,0,10,O,green,oQCoQCQCoC,0,1,1776,480
18g,23,225671,0,10,O,green,QCoCoQoQCQ,0,1,929,485
18g,24,227987,0,10,O,green,QoCoQCoQCo,0,1,1102,1532
18g,25,231519,0,10,O,green,oQCQoCQoCo,0,1,1197,573
18g,26,234182,1,10,O,green,OCoQCoQoQC,1,1,1419,263
18g,27,236741,0,10,O,green,oCQoCQoCQC,0,1,1060,504
18g,28,239196,0,10,O,green,QoCQoCQoCQ,0,1,561,493
18g,29,241158,0,10,O,green,CQoQoCQoCQ,0,1,675,453
18g,30,243193,1,10,O,green,OCQoCoQoCQ,1,1,977,505
18g,31,247907,0,10,O,green,CoQCQoCoQo,0,1,699,559
18g,32,250075,1,10,O,green,OoCQoCQCoQ,1,1,835,317
18g,33,252124,1,10,O,green,OQCoCQoCQo,1,1,808,276
18g,34,254114,0,10,O,green,CQoQoCQCoQ,0,1,735,800
18g,35,256567,0,10,O,green,oCQoQCoQCQ,0,1,744,494
18g,36,258726,1,10,O,green,OQCoQCoCoQ,1,1,1723,409
18g,37,261762,0,10,O,green,CQoCQoCoQC,0,1,768,469
18g,38,263891,1,10,O,green,OQoCQoCQoC,1,1,1362,449
18g,39,266592,1,10,O,green,OCoQoCQoCQ,1,1,1444,395
18g,40,269343,1,10,O,green,OoQCoCQoCQ,1,1,1320,403
